word,weight
diapain,-3
diare,-4
dibalik,-3
dibeliin,-1
diblock,-4
dibuang,-3
dibully,-5
didih,-4
diduain,-3
digantung,-3
diginiin,-3
digituin,-2
digresi,-4
dikangenin,-2
dikatain,-3
diketawain,-4
dikit,-4
dilarang,-3
dilema,-3
diliatin,-3
dilupain,-4
dimakan,-2
dimarahin,-5
dina,-5
dinasti,-3
dinistain,-4
dipaksa,-4
dipamerin,-3
diplomasi,-5
direksi,-3
dirimu,-1
disakiti,-5
disalahin,-3
disentri,-5
diserang,-4
disimilaritas,-4
diskredit,-4
diskrepansi,-3
disparitas,-4
distingsi,-4
distorsi,-4
disuruh,-2
ditidurin,-4
ditinggal,-4
ditolak,-4
diusir,-4
divergensi,-4
dobel,-3
dogma,-3
dogol,-5
doh,-4
domba,-3
domot,-5
dompleng,-3
dongkel,-3
dongkol,-4
dongok,-5
dosa,-4
down,-3
drama,-4
drama duka,-4
draw,-3
drop,-3
dua kali,-3
duaja,-3
duduk perut,-3
duel,-4
dugal,-5
duh,-4
dukacarita,-4
dukacita,-3
dukun,-3
dum,-3
dungkul,-4
dungu,-5
dupleks,-3
dura,-3
durhaka,-5
duri,-4
durjana,-5
durkarsa,-5
dursila,-5
dwiganda,-3
eban,-4
ecer,-2
edan,-3
edaran,-3
eek,-5
ego,-3
egois,-5
ejakulasi,-3
ejek,-4
ejekan,-4
ekang,-4
eklektis,-3
ekofraksia,-5
eks,-3
ekshibisi,-3
ekspirasi,-3
ekspos,-4
ekstasi,-3
ekstrem,-4
elak,-3
elusan,-3
elusif,-2
embah,-3
embal,-4
embarau,-3
embat,-4
embek,-3
embus,-3
emergensi,-4
emg,-1
emmm,-2
emosi,-2
empang,-3
empap,-3
empas,-3
empedal,-5
emper,-3
empos,-3
empot-empotan,-5
enas,-5
encok,-5
endemi,-5
enek,-4
engga,-4
enggan,-5
engkau,-4
entah-berentah,-3
entak,-3
entot,-2
enyah,-4
epidemi,-5
epigon,-3
erangan,-3
erik,-3
eror,-4
erot,-4
erotan,-4
erotis,-4
eroton,-4
error,-5
ex,-1
fadihat,-5
faedahnya,-1
fail,-5
fakir,-5
faktor,-4
farak,-3
faring,-5
fasid,-5
fatal,-5
feses,-5
filo,-3
fiskal,-3
fitnah,-5
fk,-4
folder,-5
fosil,-4
friksi,-5
frustasi,-3
fundamental,-4
fungsionaris,-3
gaada,-3
gaakan,-2
gabaik,-3
gabakal,-4
gabal,-5
gabas,-5
gabisa,-2
gabole,-2
gaboleh,-4
gabuk,-4
gabungan,-5
gabut,-5
gabutuh,-3
gacoan,-2
gadai,-3
gadang,-4
gaenak,-3
gagal,-4
gagap,-5
gagar,-3
gagu,-3
gaib,-5
gajadi,-3
gaje,-3
gajih,-2
gakuat,-3
galaba,-5
galak panas,-3
galas,-4
galian,-3
gamak,-4
gamam,-4
gamang,-3
gamat,-5
gamau,-4
gamungkin,-3
ganar,-4
ganas,-5
ganda,-3
gangerti,-3
ganggang,-3
ganggu,-4
ganggu jiwa,-4
gangguan jiwa,-4
gangguin,-3
ganjal,-3
gapaham,-4
gapernah,-3
gapil mulut,-4
gapuk,-3
gapura,-4
gara-gara,-5
garang,2
garib,-4
garis,-3
garis bawah,-3
garit,-3
garu,-4
garwa ampil,-5
gasak,-5
gastroenterologi,-5
gasuka,-4
gatal,-3
gatau,-1
gatel,-3
gaul,-3
gaung,-3
gausa,-3
gausah,-4
gawat,-5
gayung,-4
gblk,-4
gbs,-2
gebetan,-2
geblek,-5
gebok,-3
gebos,-3
gebu,-3
gebung,-5
gedembai,-4
gedor,-4
gegabah,-5
gegadan,-5
gegar,-3
gegetun,-4
gela,-3
geladah,-3
geladir,-5
gelagap,-2
gelantung,-4
gelap,-4
gelap mata,-3
gelatak,-4
gelecik,-4
geledah,-3
geledek,-2
geleng,-3
geletar,-4
geletik,-3
geli,-2
geliat,-3
gelibat,-2
gelicik,-3
gelingsir,-3
gelinjang,-3
gelis,-3
gelisah,-5
gelo,-2
gelogok,-3
gelongsor,-4
gelopak,-4
geluduk,-3
geluncur,-3
gelung,-3
gemal,-5
gemaung,-3
gembel,-5
gembil,-4
gemblung,-3
gembol,-4
gembrot,-3
gembul,-3
gembung,-3
gemeletek,-4
